Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,111.658400,-127.050800,225.000000,bottom
C2,0.1uF,C_0805_2012Metric,121.857849,-137.882551,225.000000,bottom
C3,0.1uF,C_0805_2012Metric,129.387600,-117.297200,45.000000,bottom
C4,0.1uF,C_0805_2012Metric,113.487200,-128.879600,225.000000,bottom
C5,0.1uF,C_0805_2012Metric,135.890000,-130.454400,315.000000,bottom
C7,1uF,C_0805_2012Metric,119.888000,-119.583200,90.000000,bottom
C8,22pF,C_0805_2012Metric,136.256951,-123.991449,45.000000,bottom
C9,22pF,C_0805_2012Metric,131.114800,-118.973600,225.000000,bottom
D1,D_Small,D_SOD-123,43.891200,-59.588400,90.000000,bottom
D2,D_Small,D_SOD-123,62.992000,-59.588400,90.000000,bottom
D3,D_Small,D_SOD-123,82.042000,-59.588400,90.000000,bottom
D4,D_Small,D_SOD-123,101.092000,-59.588400,90.000000,bottom
D5,D_Small,D_SOD-123,120.091200,-59.588400,90.000000,bottom
D6,D_Small,D_SOD-123,139.141200,-59.588400,90.000000,bottom
D7,D_Small,D_SOD-123,158.242000,-59.588400,90.000000,bottom
D8,D_Small,D_SOD-123,177.292000,-59.588400,90.000000,bottom
D9,D_Small,D_SOD-123,196.342000,-59.588400,90.000000,bottom
D10,D_Small,D_SOD-123,215.341200,-59.588400,90.000000,bottom
D11,D_Small,D_SOD-123,234.391200,-59.588400,90.000000,bottom
D12,D_Small,D_SOD-123,231.190800,-97.637600,90.000000,bottom
D13,D_Small,D_SOD-123,253.492000,-59.588400,90.000000,bottom
D14,D_Small,D_SOD-123,51.104800,-78.333600,90.000000,bottom
D15,D_Small,D_SOD-123,72.491600,-78.333600,90.000000,bottom
D16,D_Small,D_SOD-123,91.541600,-78.333600,90.000000,bottom
D17,D_Small,D_SOD-123,110.591600,-78.333600,90.000000,bottom
D18,D_Small,D_SOD-123,129.641600,-78.333600,90.000000,bottom
D19,D_Small,D_SOD-123,148.691600,-78.333600,90.000000,bottom
D20,D_Small,D_SOD-123,167.741600,-78.333600,90.000000,bottom
D21,D_Small,D_SOD-123,186.842400,-78.333600,90.000000,bottom
D22,D_Small,D_SOD-123,205.841600,-78.333600,90.000000,bottom
D23,D_Small,D_SOD-123,224.942400,-78.333600,90.000000,bottom
D24,D_Small,D_SOD-123,243.941600,-78.333600,90.000000,bottom
D25,D_Small,D_SOD-123,246.634000,-78.333600,90.000000,bottom
D27,D_Small,D_SOD-123,54.762400,-97.637600,90.000000,bottom
D28,D_Small,D_SOD-123,77.216000,-97.637600,90.000000,bottom
D29,D_Small,D_SOD-123,96.316800,-97.637600,90.000000,bottom
D30,D_Small,D_SOD-123,113.893600,-97.637600,90.000000,bottom
D31,D_Small,D_SOD-123,116.738400,-97.637600,90.000000,bottom
D32,D_Small,D_SOD-123,153.416000,-97.637600,90.000000,bottom
D33,D_Small,D_SOD-123,172.466000,-97.637600,90.000000,bottom
D34,D_Small,D_SOD-123,191.566800,-97.637600,90.000000,bottom
D35,D_Small,D_SOD-123,210.616800,-97.637600,90.000000,bottom
D36,D_Small,D_SOD-123,228.295200,-97.637600,90.000000,bottom
D38,D_Small,D_SOD-123,234.035600,-97.637600,90.000000,bottom
D40,D_Small,D_SOD-123,66.649600,-116.332000,90.000000,bottom
D41,D_Small,D_SOD-123,86.766400,-116.281200,90.000000,bottom
D42,D_Small,D_SOD-123,104.444800,-116.281200,90.000000,bottom
D43,D_Small,D_SOD-123,107.289600,-116.281200,90.000000,bottom
D44,D_Small,D_SOD-123,143.967200,-116.281200,90.000000,bottom
D45,D_Small,D_SOD-123,162.966400,-116.281200,90.000000,bottom
D46,D_Small,D_SOD-123,182.016400,-116.281200,90.000000,bottom
D47,D_Small,D_SOD-123,201.117200,-116.281200,90.000000,bottom
D48,D_Small,D_SOD-123,220.167200,-116.281200,90.000000,bottom
D49,D_Small,D_SOD-123,240.842800,-116.281200,90.000000,bottom
D51,D_Small,D_SOD-123,243.687600,-116.281200,90.000000,bottom
D53,D_Small,D_SOD-123,65.379600,-135.077200,90.000000,bottom
D54,D_Small,D_SOD-123,87.020400,-135.077200,90.000000,bottom
D58,D_Small,D_SOD-123,159.156400,-135.178800,90.000000,bottom
D62,D_Small,D_SOD-123,211.023200,-135.128000,90.000000,bottom
D63,D_Small,D_SOD-123,231.241600,-135.128000,90.000000,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,133.756400,-93.624400,270.000000,bottom
R1,22,R_0805_2012Metric,126.085600,-109.626400,270.000000,bottom
R2,22,R_0805_2012Metric,123.698000,-109.626400,270.000000,bottom
R3,10k,R_0805_2012Metric,128.422400,-137.972800,135.000000,bottom
R5,10k,R_0805_2012Metric,163.017200,-134.264400,270.000000,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,125.069600,-127.254000,45.000000,bottom
U2,SRV05-4,SOT-23-6,135.585200,-99.466400,0.000000,bottom
USB1,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,138.379200,-84.328000,270.000000,bottom
X1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,133.654800,-121.412000,135.000000,bottom
RESET,SW_Push,SW_SPST_TL3342,184.251600,-132.842000,0.000000,top
